region,weather_year,annual_demand_mwh
p132,2013,44450584.0
p133,2007,12947740.0
p133,2008,12828412.0
p133,2009,12927393.0
p133,2010,12777244.0
p133,2011,12775616.0
p133,2012,12588094.0
p133,2013,12889054.0
p134,2007,19646121.0
p134,2008,19462674.0
p134,2009,19575177.0
p134,2010,19227605.0
p134,2011,19406726.0
p134,2012,19213152.0
p134,2013,19513390.0
p14,2007,6319302.0
p14,2008,6346267.0
p14,2009,6346492.0
p14,2010,6313076.0
p14,2011,6337701.0
p14,2012,6295290.0
p14,2013,6360143.0
p15,2007,24256790.0
p15,2008,24379946.0
p15,2009,24380328.0
p15,2010,24227920.0
p15,2011,24340894.0
p15,2012,24147057.0
p15,2013,24442717.0
p16,2007,10374380.0
p16,2008,10442827.0
p16,2009,10442968.0
p16,2010,10358234.0
p16,2011,10421072.0
p16,2012,10313322.0
p16,2013,10477806.0
p17,2007,11963022.0
p17,2008,12035753.0
p17,2009,12050226.0
p17,2010,12010766.0
p17,2011,12039673.0
p17,2012,11944650.0
p17,2013,12018672.0
p18,2007,7297391.0
p18,2008,7352667.0
p18,2009,7363659.0
p18,2010,7333769.0
p18,2011,7355674.0
p18,2012,7283196.0
p18,2013,7339410.0
p19,2007,176770.0
p19,2008,177979.0
p19,2009,178073.0
p19,2010,177368.0
p19,2011,177920.0
p19,2012,176229.0
p19,2013,177520.0
p2,2007,43445482.0
p2,2008,43520515.0
p2,2009,43521704.0
p2,2010,43342011.0
p2,2011,43506147.0
p2,2012,43412162.0
p2,2013,43455123.0
p20,2007,5146334.0
p20,2008,5202228.0
p20,2009,5213531.0
p20,2010,5183264.0
p20,2011,5205344.0
p20,2012,5132194.0
p20,2013,5188827.0
p21,2007,14896608.0
p21,2008,14920996.0
p21,2009,14920557.0
p21,2010,14895062.0
p21,2011,14920219.0
p21,2012,14849639.0
p21,2013,14929779.0
p22,2007,1671095.0
p22,2008,1671482.0
p22,2009,1671113.0
p22,2010,1670745.0
p22,2011,1671038.0
p22,2012,1668838.0
p22,2013,1671265.0
p23,2007,2911425.0
p23,2008,2918419.0
p23,2009,2918297.0
p23,2010,2911024.0
p23,2011,2918220.0
p23,2012,2897840.0
p23,2013,2920987.0
p24,2007,12425298.0
p24,2008,12446252.0
p24,2009,12445787.0
p24,2010,12424080.0
p24,2011,12445499.0
p24,2012,12385263.0
p24,2013,12453758.0
p25,2007,69643703.0
p25,2008,69761865.0
p25,2009,69629590.0
p25,2010,69475294.0
p25,2011,69645669.0
p25,2012,68874229.0
p25,2013,70109813.0
p26,2007,3255606.0
p26,2008,3261386.0
p26,2009,3255001.0
p26,2010,3247411.0
p26,2011,3255760.0
p26,2012,3217755.0
p26,2013,3278539.0
p27,2007,14226408.0
p27,2008,14212474.0
p27,2009,14215396.0
p27,2010,14208855.0
p27,2011,14223104.0
p27,2012,14212647.0
p27,2013,14224672.0
p28,2007,135723953.0
p28,2008,135415153.0
p28,2009,135480905.0
p28,2010,135335528.0
p28,2011,135653068.0
p28,2012,135418274.0
p28,2013,135686539.0
p29,2007,2006015.0
p29,2008,2002313.0
p29,2009,2002843.0
p29,2010,2000977.0
p29,2011,2005149.0
p29,2012,2002077.0
p29,2013,2005522.0
p3,2007,20717165.0
p3,2008,20755511.0
p3,2009,20756045.0
p3,2010,20664345.0
p3,2011,20748239.0
p3,2012,20700170.0
p3,2013,20722190.0
p30,2007,16805585.0
p30,2008,16791719.0
p30,2009,16794535.0
p30,2010,16788139.0
p30,2011,16802361.0
p30,2012,16791752.0
