substation_id,CBSAFP,POPESTIMATE2019,rb,region,IPM_Region
142330,12060,6020364.0,p94,p94,p94
159911,15140,17304.0,p92,p92,p92
200667,13380,229247.0,p1,p1,p1
148836,22900,250368.0,p56,p56,p56
200734,13380,229247.0,p1,p1,p1
107872,42620,78753.0,p85,p85,p85
205945,46860,35734.0,p26,p26,p26
111971,10780,152037.0,p58,p58,p58
147307,31500,32308.0,p107,p107,p107
159106,26980,173105.0,p70,p70,p70
304103,33700,550660.0,p9,p9,p9
151991,29460,724777.0,p101,p101,p101
201488,14500,326196.0,p33,p33,p33
151752,42340,393353.0,p94,p94,p94
143935,45940,367430.0,p126,p126,p126
121030,22620,24994.0,p85,p85,p85
145570,15380,1127983.0,p127,p127,p127
149339,34660,39001.0,p93,p93,p93
127704,29460,724777.0,p101,p101,p101
149530,48500,19316.0,p88,p88,p88
109640,32940,99408.0,p87,p87,p87
117236,42620,78753.0,p85,p85,p85
143827,39540,196311.0,p79,p79,p79
147278,17300,307820.0,p92,p92,p92
203861,19740,2967239.0,p33,p33,p33
161069,12060,6020364.0,p94,p94,p94
117603,42740,42339.0,p54,p54,p54
161068,12060,6020364.0,p94,p94,p94
204226,16940,99500.0,p24,p24,p24
120751,45220,387227.0,p101,p101,p101
121578,p124,10000.0,p124,p124,p124
117228,40780,85413.0,p85,p85,p85
202642,10540,129749.0,p5,p5,p5
121817,27900,179564.0,p55,p55,p55
130997,16140,20165.0,p45,p45,p45
203689,14500,326196.0,p33,p33,p33
115185,39580,1390785.0,p98,p98,p98
120996,16700,802122.0,p96,p96,p96
111095,18980,83768.0,p89,p89,p89
203681,14500,326196.0,p33,p33,p33
201178,45520,26682.0,p5,p5,p5
201309,34300,27511.0,p15,p15,p15
117261,40780,85413.0,p85,p85,p85
122700,14700,55928.0,p55,p55,p55
148105,42940,98250.0,p92,p92,p92
109593,18060,58595.0,p88,p88,p88
110692,24740,43909.0,p87,p87,p87
117294,22220,534904.0,p56,p56,p56
148245,40260,69493.0,p98,p98,p98
144341,40340,221921.0,p43,p43,p43
150260,35380,1270530.0,p58,p58,p58
131616,21840,18295.0,p70,p70,p70
148584,30280,34375.0,p92,p92,p92
123123,14010,171517.0,p83,p83,p83
200723,42660,3979845.0,p1,p1,p1
117482,14700,55928.0,p55,p55,p55
150577,33100,6166488.0,p102,p102,p102
206359,36260,683864.0,p25,p25,p25
123991,30900,37689.0,p105,p105,p105
117879,38740,55766.0,p84,p84,p84
155599,34980,1934317.0,p92,p92,p92
143576,20740,169304.0,p46,p46,p46
146910,25500,134964.0,p99,p99,p99
147547,26500,45144.0,p122,p122,p122
306531,39900,475642.0,p12,p12,p12
123853,30140,141793.0,p122,p122,p122
201215,21660,382067.0,p5,p5,p5
310177,37220,46523.0,p12,p12,p12
116052,12020,213750.0,p94,p94,p94
149436,46460,30069.0,p92,p92,p92
121019,32180,22761.0,p54,p54,p54
117880,38740,55766.0,p84,p84,p84
209081,45520,26682.0,p5,p5,p5
107930,25460,45185.0,p56,p56,p56
110774,16340,42613.0,p94,p94,p94
149763,21120,21859.0,p50,p50,p50
131376,17540,46429.0,p70,p70,p70
116422,35460,36004.0,p92,p92,p92
115614,32820,1346045.0,p92,p92,p92
150261,35380,1270530.0,p58,p58,p58
130426,43580,144701.0,p45,p45,p45
152075,28940,869046.0,p92,p92,p92
111743,11140,34781.0,p94,p94,p94
118448,45140,48657.0,p51,p51,p51
121396,32500,17070.0,p109,p109,p109
132736,31700,417025.0,p130,p130,p130
114605,22840,71513.0,p89,p89,p89
200959,45520,26682.0,p5,p5,p5
111073,19460,152603.0,p89,p89,p89
129322,12380,40062.0,p68,p68,p68
150239,35380,1270530.0,p58,p58,p58
118131,36840,25544.0,p53,p53,p53
110772,16340,42613.0,p94,p94,p94
151791,36380,42168.0,p101,p101,p101
134579,p42,10000.0,p42,p42,p42
148184,18900,60520.0,p92,p92,p92
121233,34260,41932.0,p85,p85,p85
110071,24980,20758.0,p87,p87,p87
110061,19140,144724.0,p94,p94,p94
110696,24740,43909.0,p87,p87,p87
150222,25220,134758.0,p58,p58,p58
117159,43460,38280.0,p72,p72,p72
115746,19420,33167.0,p92,p92,p92
117413,14700,55928.0,p55,p55,p55
131659,36540,949442.0,p41,p41,p41
132120,11180,123351.0,p70,p70,p70
306127,25820,18546.0,p48,p48,p48
144336,39860,46340.0,p43,p43,p43
300127,46340,232751.0,p63,p63,p63
130699,20220,97311.0,p70,p70,p70
137837,26580,355873.0,p112,p112,p112
147841,40060,1291900.0,p99,p99,p99
122289,16980,9458539.0,p80,p80,p80
117305,25460,45185.0,p56,p56,p56
162881,12380,40062.0,p68,p68,p68
132168,26980,173105.0,p70,p70,p70
109827,46180,166126.0,p88,p88,p88
201247,31020,110593.0,p2,p2,p2
122798,38740,55766.0,p84,p84,p84
203692,39380,168424.0,p34,p34,p34
116398,29340,210409.0,p58,p58,p58
151246,36660,82124.0,p58,p58,p58
118411,34780,67997.0,p51,p51,p51
132626,45940,367430.0,p126,p126,p126
140712,14460,4873019.0,p131,p131,p131
110771,16340,42613.0,p94,p94,p94
111415,40260,69493.0,p98,p98,p98
149437,32280,33328.0,p92,p92,p92
132613,45940,367430.0,p126,p126,p126
109418,13720,41364.0,p118,p118,p118
153562,46220,252047.0,p89,p89,p89
310251,29820,2266715.0,p13,p13,p13
117809,28380,29131.0,p84,p84,p84
121445,16820,218615.0,p99,p99,p99
161898,30280,34375.0,p92,p92,p92
107708,14180,40651.0,p85,p85,p85
147318,14540,179240.0,p93,p93,p93
205024,38540,95489.0,p16,p16,p16
121121,47660,54062.0,p54,p54,p54
303106,12540,900202.0,p10,p10,p10
133770,22020,246145.0,p37,p37,p37
160010,32260,39369.0,p70,p70,p70
133811,11180,123351.0,p70,p70,p70
158650,34100,142749.0,p92,p92,p92
159109,34700,42664.0,p70,p70,p70
202569,13740,181667.0,p20,p20,p20
119164,34780,67997.0,p51,p51,p51
148427,27340,197938.0,p98,p98,p98
131878,18100,33470.0,p40,p40,p40
112147,20140,64090.0,p94,p94,p94
160009,32260,39369.0,p70,p70,p70
132653,34700,42664.0,p70,p70,p70
115714,29300,103176.0,p94,p94,p94
121130,27860,133860.0,p85,p85,p85
130155,22260,58746.0,p43,p43,p43
151104,45300,3194831.0,p101,p101,p101
129401,40340,221921.0,p43,p43,p43
149497,46180,166126.0,p88,p88,p88
119168,34780,67997.0,p51,p51,p51
203573,p35,10000.0,p35,p35,p35
160008,32260,39369.0,p70,p70,p70
154627,19000,58209.0,p97,p97,p97
117513,27900,179564.0,p55,p55,p55
150578,33100,6166488.0,p102,p102,p102
137007,47940,168522.0,p69,p69,p69
136983,20220,97311.0,p70,p70,p70
111306,28620,37009.0,p98,p98,p98
200967,28060,103806.0,p17,p17,p17
117771,22780,52607.0,p73,p73,p73
147277,17300,307820.0,p92,p92,p92
129423,36940,36649.0,p43,p43,p43
122858,37140,96272.0,p93,p93,p93
110024,15660,57963.0,p94,p94,p94
131369,20220,97311.0,p70,p70,p70
203271,31020,110593.0,p2,p2,p2
122825,38740,55766.0,p84,p84,p84
111432,25780,44535.0,p98,p98,p98
137006,47940,168522.0,p69,p69,p69
122295,40420,336116.0,p80,p80,p80
203572,p35,10000.0,p35,p35,p35
122786,38740,55766.0,p84,p84,p84
117881,17860,208173.0,p72,p72,p72
306995,13700,36664.0,p60,p60,p60
121102,37500,45325.0,p85,p85,p85
112146,20140,64090.0,p94,p94,p94
201767,41420,433903.0,p5,p5,p5
111107,27530,63521.0,p89,p89,p89
133208,48140,163285.0,p75,p75,p75
305522,45340,32723.0,p31,p31,p31
301484,13700,36664.0,p60,p60,p60
147469,41820,61779.0,p98,p98,p98
107664,42460,51626.0,p89,p89,p89
155672,18980,83768.0,p89,p89,p89
112605,26380,208075.0,p58,p58,p58
112725,18980,83768.0,p89,p89,p89
162479,48900,297533.0,p98,p98,p98
112031,47080,36002.0,p94,p94,p94
157456,18980,83768.0,p89,p89,p89
137100,31700,417025.0,p130,p130,p130
121126,37500,45325.0,p85,p85,p85
201417,31020,110593.0,p2,p2,p2
202666,32780,220944.0,p6,p6,p6
143941,35620_p126,6585382.235587343,p126,p126,p126
111545,12060,6020364.0,p94,p94,p94
123617,20700,170271.0,p122,p122,p122
110070,24980,20758.0,p87,p87,p87
110200,11500,113605.0,p90,p90,p90
149853,26380,208075.0,p58,p58,p58
118412,34780,67997.0,p51,p51,p51
150223,14220,46194.0,p58,p58,p58
148534,16860,565194.0,p92,p92,p92
117195,33620,24748.0,p72,p72,p72
132118,32260,39369.0,p70,p70,p70
111421,40260,69493.0,p98,p98,p98
150831,36740,2608147.0,p101,p101,p101
120842,25300,38839.0,p71,p71,p71
131615,36900,34969.0,p70,p70,p70
149500,46180,166126.0,p88,p88,p88
112239,27530,63521.0,p89,p89,p89
131370,20220,97311.0,p70,p70,p70
203999,22660,356899.0,p33,p33,p33
301611,20940,181215.0,p10,p10,p10
111051,26620,471824.0,p89,p89,p89
123852,30140,141793.0,p122,p122,p122
111022,18420,36953.0,p88,p88,p88
119166,34780,67997.0,p51,p51,p51
150823,36740,2608147.0,p101,p101,p101
201416,31020,110593.0,p2,p2,p2
206311,41100,177556.0,p25,p25,p25
123616,20700,170271.0,p122,p122,p122
112446,14220,46194.0,p58,p58,p58
131067,32260,39369.0,p70,p70,p70
120915,25940,222195.0,p96,p96,p96
206310,41100,177556.0,p25,p25,p25
122412,13500,26118.0,p96,p96,p96
309015,19100,7573136.0,p63,p63,p63
114253,16740,2636883.0,p97,p97,p97
150832,36740,2608147.0,p101,p101,p101
149148,34780,67997.0,p51,p51,p51
162143,27530,63521.0,p89,p89,p89
152641,43140,97947.0,p97,p97,p97
107899,34260,41932.0,p85,p85,p85
132649,34700,42664.0,p70,p70,p70
149526,37060,54019.0,p88,p88,p88
115453,39580,1390785.0,p98,p98,p98
112172,47580,185409.0,p94,p94,p94
111191,23580,204441.0,p94,p94,p94
107750,40780,85413.0,p85,p85,p85
149434,46460,30069.0,p92,p92,p92
308721,31260,86715.0,p63,p63,p63
149800,22860,47429.0,p58,p58,p58
144006,37980,6102434.0,p122,p122,p122
112505,12940,854884.0,p58,p58,p58
117285,22620,24994.0,p85,p85,p85
128355,33780,150500.0,p103,p103,p103
133737,24220,100815.0,p37,p37,p37
117314,12900,55267.0,p85,p85,p85
154228,36700,86175.0,p96,p96,p96
115278,18260,114272.0,p92,p92,p92
135243,27420,20704.0,p37,p37,p37
155596,34980,1934317.0,p92,p92,p92
132867,47940,168522.0,p69,p69,p69
149420,22900,250368.0,p56,p56,p56
302266,22380,143476.0,p28,p28,p28
302968,41700,2550960.0,p65,p65,p65
113618,17140,2221208.0,p114,p114,p114
128356,33780,150500.0,p103,p103,p103
202320,40540,42343.0,p21,p21,p21
117635,42740,42339.0,p54,p54,p54
200960,11820,40224.0,p5,p5,p5
201129,33540,119600.0,p17,p17,p17
113763,17140,2221208.0,p114,p114,p114
148586,29980,44142.0,p92,p92,p92
120813,11580,38001.0,p101,p101,p101
132154,19780,699292.0,p70,p70,p70
153593,37940,35516.0,p105,p105,p105
111395,41220,54666.0,p94,p94,p94
114942,22520,147970.0,p89,p89,p89
149949,22840,71513.0,p89,p89,p89
135670,28740,177573.0,p127,p127,p127
115365,27740,203649.0,p92,p92,p92
110198,11500,113605.0,p90,p90,p90
203876,17820,745791.0,p34,p34,p34
107704,14180,40651.0,p85,p85,p85
202107,19740,2967239.0,p33,p33,p33
151982,11580,38001.0,p101,p101,p101
114383,40460,44829.0,p98,p98,p98
201878,30860,142165.0,p25,p25,p25
